wl,data,model_comp05,model_cool05,model_hot05,model_comp50,model_cool50,model_hot50,model_comp95,model_cool95,model_hot95
16926.333872133604,0.24269708212600216,0.24005007866049688,0.006573456588809211,0.23347662207169195,0.2411630095582607,0.03007386628823564,0.21108914327002934,0.23770812371451094,0.04895638016967007,0.18875174354484478
16926.443629156303,0.24415479015379624,0.24012250320088205,0.006565091181573341,0.23355741201931302,0.2411092688413938,0.03002129171335154,0.21108797712804656,0.23751806579124113,0.04875435858572593,0.1887637072055191
16926.55337501414,0.2419411847943839,0.24014422920212994,0.00655710933868836,0.23358711986344588,0.2410615059387461,0.02997902053118745,0.21108248540756294,0.23734066547681232,0.04858068778093516,0.18875997769588107
16926.66310971352,0.24525886037631486,0.24015263606943427,0.006550173987433563,0.233602462082005,0.2410357266667153,0.029947453404802003,0.2110882732619176,0.23719869615342015,0.04843387217160285,0.1887648239818212
16926.772833260842,0.24164806675368664,0.2401580057727023,0.006544906102142612,0.23361309967056398,0.2410217835947119,0.02992556792143024,0.21109621567328596,0.23709028892927264,0.048316132913993746,0.1887741560152828
16926.882545662495,0.24232172098536658,0.24013739547095858,0.006541958446511699,0.23359543702445118,0.24100838721132575,0.029913887387751966,0.21109449982357809,0.23700760354378547,0.04823645236697567,0.1887711511768137
16926.99224692489,0.24599622072307262,0.2400662869989094,0.00654193916089994,0.23352434783801373,0.24097962823190305,0.029914811166489773,0.21106481706541758,0.2369459044963182,0.04820909903368336,0.1887368054626387
16927.10193705442,0.2442139979085394,0.23995870892416124,0.00654471514895452,0.23341399377521102,0.24091883382253038,0.02993015572441063,0.21098867809812405,0.23690580858930776,0.04824581739151379,0.1886599911977979
16927.211616057488,0.24199324503873285,0.23984154948813566,0.006549823958061195,0.23329172553007876,0.24083755732389217,0.02995938810646804,0.2108781692174284,0.23689638926109272,0.04834049747002207,0.18855589179107454
16927.321283940502,0.2437911931745602,0.2397299714127587,0.006556773345752087,0.23317319806701092,0.24074179808256668,0.030000313788061807,0.21074148429450917,0.23691417836674852,0.04847916719132504,0.18843501117542738
16927.430940709863,0.24414252971671027,0.23963320775715832,0.006565131204423191,0.23306807655273942,0.2406405556078349,0.03004806199903394,0.21059249360880525,0.2369501289918149,0.048643700022978555,0.18830642896884023
16927.540586371986,0.24295465155814946,0.23954983184958237,0.006574378024554653,0.23297545382503201,0.24056946358400821,0.03009464757999072,0.2104748160040218,0.23700628426991266,0.04881020659511743,0.18819607767479912
16927.650220933265,0.24202508901702394,0.2394849747901514,0.006583417930025028,0.23290155686013067,0.24054108727119455,0.030131296545943015,0.21040979072525584,0.2370802768753269,0.04895320105620995,0.18812707581912083
