#HJD          Cam  mag   mag_err  flux (mJy)   flux_err (mJy)
#              (5 sigma limits) 
#Cam: Hawaii=abcd Chile1=defg Chile2=ijkl SAAO=mnop Texas=qrst
2456569.09929	ba	13.242	0.03604396110151552	19.363	0.642
2456621.94361	ba	13.33	0.03243956499136397	17.862	0.533
2456629.93096	ba	13.246	0.02523077277106086	19.302	0.448
2456681.99598	ba	13.215	0.01802198055075776	19.855	0.329
2456741.82775	ba	13.417	0.028835168881212417	16.485	0.437
2456917.13141	ba	13.231	0.043252753321818625	19.563	0.778
2456936.10111	ba	13.303	0.03243956499136397	18.305	0.546
2456961.04894	ba	13.251	0.01802198055075776	19.217	0.319
2456962.04824	ba	13.262	0.01802198055075776	19.008	0.315
2456968.05721	ba	13.228	0.043252753321818625	19.615	0.781
2456969.04871	ba	13.242	0.06848352609287948	19.361	1.22
2456971.02041	ba	13.289	0.039648357211667075	18.552	0.677
2456972.05721	ba	13.256	0.02523077277106086	19.116	0.444
2456986.99961	ba	13.263	0.01802198055075776	18.993	0.315
2456989.02354	ba	13.262	0.014417584440606208	19.021	0.252
2456991.9939	ba	13.249	0.021626376660909313	19.241	0.383
2456993.94448	ba	13.236	0.028835168881212417	19.485	0.517
2457004.91165	ba	13.3	0.02523077277106086	18.363	0.426
2457008.08263	ba	13.268	0.01802198055075776	18.915	0.314
2457011.99847	ba	13.306	0.021626376660909313	18.255	0.363
2457012.91798	ba	13.274	0.01802198055075776	18.802	0.312
2457016.98035	ba	13.274	0.01802198055075776	18.809	0.312
2457020.86555	ba	13.235	0.01802198055075776	19.487	0.323
2457023.87659	ba	13.266	0.03243956499136397	18.953	0.566
2457031.95477	ba	13.273	0.03604396110151552	18.819	0.624
2457034.9472	ba	13.286	0.021626376660909313	18.607	0.37
2457036.95299	ba	13.258	0.010813188330454656	19.081	0.19
2457037.94551	ba	13.254	0.01802198055075776	19.161	0.318
2457039.95517	ba	13.253	0.014417584440606208	19.167	0.254
2457041.96548	ba	13.235	0.021626376660909313	19.502	0.388
2457043.94911	ba	13.231	0.021626376660909313	19.573	0.389
2457045.93655	ba	13.231	0.01802198055075776	19.575	0.325
2457048.82069	ba	13.284	0.014417584440606208	18.641	0.247
2457049.89694	ba	13.283	0.021626376660909313	18.644	0.371
2457051.92929	ba	13.293	0.028835168881212417	18.478	0.49
2457065.9212	ba	13.234	0.01802198055075776	19.504	0.323
2457070.89331	ba	13.275	0.01802198055075776	18.793	0.312
2457072.88231	ba	13.266	0.01802198055075776	18.954	0.314
2457077.75867	ba	13.306	0.01802198055075776	18.253	0.303
2457080.80649	ba	13.276	0.02523077277106086	18.776	0.436
2457096.80112	ba	13.242	0.021626376660909313	19.365	0.385
2457099.90561	ba	13.238	0.01802198055075776	19.436	0.322
2457103.81935	ba	13.271	0.01802198055075776	18.854	0.313
2457105.89051	ba	13.267	0.021626376660909313	18.924	0.377
2457108.87159	ba	13.24	0.028835168881212417	19.407	0.515
2457114.86573	ba	13.192	0.043252753321818625	20.288	0.807
2457119.78249	ba	13.259	0.02523077277106086	19.06	0.442
2457122.80795	ba	13.265	0.014417584440606208	18.963	0.252
2457125.82185	ba	13.241	0.014417584440606208	19.39	0.257
2457128.8061	ba	13.281	0.01802198055075776	18.691	0.31
2457131.79133	ba	13.24	0.021626376660909313	19.409	0.386
2457132.76851	ba	13.262	0.01802198055075776	19.024	0.315
2457135.77211	ba	13.25	0.021626376660909313	19.225	0.383
2457144.7721	ba	13.23	0.03243956499136397	19.593	0.585
2457145.74531	ba	13.264	0.043252753321818625	18.985	0.755
2457148.74265	ba	13.277	0.02523077277106086	18.75	0.435
2457283.13151	ba	13.246	0.039648357211667075	19.304	0.704
2457297.11281	ba	13.247	0.03243956499136397	19.284	0.576
2457308.07987	ba	13.214	0.021626376660909313	19.873	0.395
2457309.09448	ba	13.227	0.021626376660909313	19.638	0.391
2457310.09395	ba	13.242	0.021626376660909313	19.364	0.385
2457311.08971	ba	13.271	0.01802198055075776	18.859	0.313
2457314.07272	ba	13.315	0.02523077277106086	18.111	0.42
2457315.0787	ba	13.323	0.02523077277106086	17.979	0.417
2457317.07245	ba	13.298	0.02523077277106086	18.392	0.427
2457318.08031	ba	13.284	0.021626376660909313	18.633	0.371
2457320.04842	ba	13.277	0.02523077277106086	18.763	0.436
2457322.04388	ba	13.257	0.039648357211667075	19.112	0.697
2457324.0471	ba	13.24	0.039648357211667075	19.409	0.708
2457335.02441	ba	13.262	0.014417584440606208	19.021	0.252
2457342.98911	ba	13.292	0.02523077277106086	18.495	0.429
2457344.9863	ba	13.243	0.02523077277106086	19.345	0.449
2457360.09509	ba	13.263	0.021626376660909313	18.998	0.378
2457362.09167	ba	13.269	0.014417584440606208	18.889	0.251
2457364.0544	ba	13.248	0.01802198055075776	19.259	0.319
2457365.95632	ba	13.279	0.01802198055075776	18.712	0.31
2457366.97192	ba	13.281	0.014417584440606208	18.687	0.248
2457369.91592	ba	13.213	0.02523077277106086	19.886	0.462
2457379.90314	ba	13.24	0.03604396110151552	19.412	0.644
2457387.05547	ba	13.253	0.028835168881212417	19.169	0.509
2457387.88922	ba	13.305	0.028835168881212417	18.272	0.485
2457391.04962	ba	13.257	0.014417584440606208	19.097	0.253
2457393.0544	ba	13.262	0.01802198055075776	19.021	0.315
2457397.92055	ba	13.234	0.01802198055075776	19.515	0.324
2457399.94029	ba	13.253	0.014417584440606208	19.168	0.254
2457402.88462	ba	13.253	0.014417584440606208	19.177	0.254
2457404.8162	ba	13.252	0.021626376660909313	19.187	0.382
