HJD,UT Date,Camera,FWHM,Limit,mag,mag_err,flux(mJy),flux_err,Filter
2456736.88474,2014-03-20.3804743,ba,2.05,15.894,13.397,0.022,16.783,0.339,V
2456736.88605,2014-03-20.3817885,ba,2.07,15.756,13.415,0.025,16.524,0.385,V
2456741.82774,2014-03-25.3238444,ba,1.73,16.201,13.474,0.018,15.641,0.255,V
2456741.82906,2014-03-25.3251596,ba,1.74,16.224,13.531,0.018,14.843,0.250,V
2456764.79421,2014-04-17.2923165,ba,2.06,16.040,13.486,0.021,15.464,0.296,V
2456764.79559,2014-04-17.2937009,ba,2.03,15.771,13.460,0.026,15.836,0.378,V
2456915.13538,2014-09-14.6394414,ba,1.78,15.420,13.390,0.034,16.893,0.524,V
2456915.13687,2014-09-14.6409243,ba,1.84,15.129,13.359,0.043,17.389,0.684,V
2456917.13141,2014-09-16.6353247,ba,1.68,15.484,13.321,0.030,18.013,0.493,V
2456917.13285,2014-09-16.6367733,ba,1.70,15.486,13.374,0.031,17.161,0.493,V
2456933.09415,2014-10-02.5968621,ba,1.66,15.863,13.474,0.024,15.646,0.349,V
2456933.09563,2014-10-02.5983444,ba,1.65,15.783,13.367,0.024,17.266,0.375,V
2456936.10112,2014-10-05.6035799,ba,1.63,16.146,13.412,0.018,16.568,0.269,V
2456936.10256,2014-10-05.6050155,ba,1.64,16.061,13.388,0.019,16.939,0.290,V
2456939.09988,2014-10-08.6020737,ba,1.99,14.356,13.566,0.106,14.374,1.392,V
2456939.10132,2014-10-08.6035224,ba,2.08,14.251,13.436,0.105,16.202,1.539,V
2456940.09931,2014-10-09.6014144,ba,1.79,15.484,13.343,0.031,17.655,0.494,V
2456940.10076,2014-10-09.6028599,ba,1.75,15.370,13.359,0.034,17.394,0.548,V
2456961.04896,2014-10-30.5490646,ba,1.72,16.137,13.335,0.017,17.771,0.271,V
2456961.05043,2014-10-30.5505295,ba,1.78,15.974,13.317,0.019,18.077,0.315,V
2456962.04826,2014-10-31.5482651,ba,1.74,16.096,13.327,0.017,17.913,0.283,V
2456962.04971,2014-10-31.5497164,ba,1.80,16.137,13.337,0.017,17.740,0.272,V
2456967.05899,2014-11-05.5584960,ba,2.12,15.607,13.311,0.027,18.176,0.441,V
2456967.06039,2014-11-05.5598995,ba,2.08,15.545,13.251,0.027,19.216,0.467,V
2456968.05723,2014-11-06.5566339,ba,1.69,15.237,13.370,0.039,17.220,0.618,V
2456968.05862,2014-11-06.5580219,ba,1.71,15.390,13.312,0.032,18.169,0.539,V
2456969.04733,2014-11-07.5466402,ba,2.22,99.990,99.990,99.990,99.990,99.990,V
2456969.04873,2014-11-07.5480337,ba,1.83,15.574,13.350,0.028,17.537,0.456,V
2456970.01982,2014-11-08.5190296,ba,2.05,13.794,13.636,0.190,13.465,2.332,V
2456970.02125,2014-11-08.5204656,ba,1.96,14.131,13.211,0.094,19.928,1.716,V
2456971.02043,2014-11-09.5195412,ba,1.69,15.523,13.399,0.031,16.765,0.477,V
2456971.02184,2014-11-09.5209587,ba,1.68,15.713,13.366,0.025,17.288,0.399,V
2456972.05723,2014-11-10.5562402,ba,1.75,15.678,13.360,0.026,17.373,0.413,V
2456972.05874,2014-11-10.5577401,ba,1.71,15.745,13.327,0.024,17.907,0.389,V
2456979.99502,2014-11-18.4932486,ba,2.05,16.135,13.350,0.017,17.524,0.272,V
2456979.99650,2014-11-18.4947318,ba,1.89,16.059,13.367,0.018,17.253,0.291,V
2456984.02451,2014-11-22.5223526,ba,1.72,16.108,13.379,0.018,17.080,0.279,V
2456984.02598,2014-11-22.5238153,ba,1.66,16.074,13.345,0.018,17.614,0.288,V
2456986.99964,2014-11-25.4972035,ba,1.67,16.093,13.359,0.018,17.396,0.283,V
2456987.00110,2014-11-25.4986640,ba,1.63,16.177,13.295,0.015,18.444,0.263,V
2456989.02356,2014-11-27.5209399,ba,1.66,16.118,13.344,0.017,17.643,0.276,V
2456989.02500,2014-11-27.522375,ba,1.66,16.190,13.321,0.016,17.997,0.258,V
2456991.99393,2014-11-30.4910356,ba,1.67,16.218,13.324,0.015,17.959,0.252,V
2456991.99536,2014-11-30.4924678,ba,1.65,16.234,13.325,0.015,17.942,0.249,V
2456993.94451,2014-12-02.4414446,ba,1.73,15.654,13.340,0.026,17.700,0.422,V
2456993.94597,2014-12-02.4429063,ba,1.65,15.787,13.325,0.023,17.939,0.374,V
2456997.95772,2014-12-06.4543093,ba,2.02,15.405,13.342,0.033,17.663,0.532,V
2456997.95926,2014-12-06.4558427,ba,1.82,15.487,13.341,0.030,17.681,0.493,V
2457004.91168,2014-12-13.4077056,ba,1.74,15.936,13.390,0.021,16.909,0.326,V
2457004.91318,2014-12-13.4092034,ba,1.82,15.881,13.380,0.022,17.068,0.344,V
2457008.08265,2014-12-16.5784377,ba,1.77,16.121,13.340,0.017,17.703,0.275,V
2457008.08419,2014-12-16.5799781,ba,2.00,16.311,13.313,0.014,18.137,0.232,V
2457011.99850,2014-12-20.4940064,ba,1.71,16.244,13.371,0.016,17.198,0.246,V
2457012.91801,2014-12-21.4134496,ba,1.72,16.191,13.327,0.016,17.913,0.259,V
2457012.91967,2014-12-21.4151085,ba,1.70,16.224,13.343,0.015,17.640,0.251,V
2457016.98038,2014-12-25.4755577,ba,1.74,16.148,13.341,0.017,17.682,0.269,V
2457016.98190,2014-12-25.4770702,ba,1.84,16.238,13.370,0.016,17.212,0.247,V
2457020.86558,2014-12-29.3605200,ba,1.66,15.865,13.338,0.021,17.726,0.348,V
2457020.86707,2014-12-29.3620083,ba,1.66,15.856,13.303,0.021,18.308,0.351,V
2457023.87662,2015-01-01.3714040,ba,1.81,15.738,13.387,0.025,16.952,0.391,V
2457023.87858,2015-01-01.3733538,ba,1.75,15.750,13.337,0.024,17.749,0.388,V
2457031.95480,2015-01-09.4492012,ba,1.69,15.708,13.383,0.026,17.011,0.402,V
2457031.95624,2015-01-09.4506412,ba,1.73,15.718,13.375,0.025,17.134,0.398,V
2457032.84375,2015-01-10.3381214,ba,2.00,16.016,13.394,0.020,16.838,0.303,V
2457032.84514,2015-01-10.3395108,ba,2.01,16.018,13.372,0.019,17.186,0.302,V
2457034.94723,2015-01-12.4415209,ba,1.62,16.161,13.365,0.017,17.294,0.267,V
2457034.94869,2015-01-12.4429826,ba,1.67,16.203,13.365,0.016,17.303,0.255,V
2457036.95302,2015-01-14.4472405,ba,1.64,16.194,13.311,0.015,18.181,0.258,V
2457036.95442,2015-01-14.4486483,ba,1.62,16.206,13.344,0.016,17.640,0.255,V
2457037.94554,2015-01-15.4397310,ba,1.64,16.241,13.341,0.015,17.667,0.246,V
2457037.94693,2015-01-15.4411217,ba,1.63,16.090,13.310,0.017,18.191,0.283,V
2457039.95519,2015-01-17.4493282,ba,1.68,16.283,13.323,0.014,17.981,0.237,V
2457039.95659,2015-01-17.4507291,ba,1.65,16.313,13.329,0.014,17.868,0.231,V
2457041.96551,2015-01-19.4595962,ba,1.64,16.197,13.314,0.015,18.133,0.257,V
2457041.96690,2015-01-19.4609875,ba,1.63,16.247,13.335,0.015,17.775,0.245,V
2457043.94914,2015-01-21.4431826,ba,1.82,16.116,13.312,0.017,18.164,0.277,V
2457043.95060,2015-01-21.4446479,ba,1.83,16.213,13.289,0.015,18.555,0.254,V
2457045.93658,2015-01-23.4305868,ba,1.67,16.140,13.315,0.016,18.107,0.271,V
2457045.93798,2015-01-23.4319953,ba,1.68,16.239,13.295,0.015,18.445,0.247,V
2457048.82072,2015-01-26.3146856,ba,1.82,16.085,13.358,0.018,17.409,0.284,V
2457048.82230,2015-01-26.3162769,ba,1.99,15.957,13.335,0.020,17.789,0.320,V
2457048.96001,2015-01-26.4539751,ba,1.83,16.204,13.319,0.015,18.041,0.255,V
2457048.96154,2015-01-26.4555089,ba,2.08,16.244,13.311,0.015,18.182,0.247,V
2457049.89696,2015-01-27.3909234,ba,1.79,16.068,13.338,0.018,17.735,0.289,V
2457049.89836,2015-01-27.3923184,ba,1.77,16.066,13.359,0.018,17.385,0.290,V
2457051.92931,2015-01-29.4232537,ba,1.70,15.901,13.373,0.021,17.166,0.336,V
2457051.93101,2015-01-29.4249481,ba,1.74,15.893,13.360,0.021,17.368,0.339,V
2457061.00335,2015-02-07.4973196,ba,1.83,15.702,13.367,0.026,17.273,0.404,V
2457061.00476,2015-02-07.4987233,ba,1.82,15.754,13.342,0.024,17.672,0.385,V
2457064.89675,2015-02-11.3907574,ba,2.06,16.143,13.280,0.016,18.694,0.270,V
2457064.89815,2015-02-11.3921638,ba,2.00,16.230,13.306,0.015,18.276,0.249,V
2457065.92121,2015-02-12.4152424,ba,1.80,16.119,13.321,0.017,18.006,0.276,V
2457065.92262,2015-02-12.4166481,ba,1.82,16.139,13.352,0.017,17.502,0.271,V
2457070.89333,2015-02-17.3874642,ba,1.66,16.153,13.367,0.017,17.267,0.267,V
2457070.89471,2015-02-17.3888560,ba,1.64,16.202,13.350,0.016,17.532,0.256,V
2457072.88232,2015-02-19.3765165,ba,1.65,16.217,13.347,0.016,17.579,0.252,V
2457072.88371,2015-02-19.3779103,ba,1.63,16.245,13.372,0.016,17.182,0.246,V
2457077.75868,2015-02-24.2530349,ba,1.69,16.101,13.374,0.018,17.147,0.281,V
2457077.76007,2015-02-24.2544254,ba,1.67,15.987,13.399,0.020,16.749,0.311,V
2457080.80650,2015-02-27.3009932,ba,1.72,15.943,13.324,0.020,17.959,0.325,V
2457080.80798,2015-02-27.3024736,ba,1.67,15.856,13.326,0.021,17.928,0.351,V
2457096.80112,2015-03-15.2964856,ba,1.68,16.186,13.341,0.016,17.670,0.261,V
2457096.80274,2015-03-15.2981062,ba,1.65,16.198,13.354,0.016,17.464,0.257,V
2457099.90561,2015-03-18.4015906,ba,1.66,16.177,13.311,0.016,18.186,0.261,V
2457099.90727,2015-03-18.4032482,ba,1.63,16.282,13.345,0.015,17.621,0.238,V
2457103.81935,2015-03-22.3156218,ba,1.66,16.198,13.330,0.016,17.863,0.257,V
2457103.82094,2015-03-22.3172134,ba,1.64,16.183,13.340,0.016,17.699,0.260,V
2457105.89050,2015-03-24.3869328,ba,1.64,16.132,13.363,0.017,17.325,0.272,V
2457105.89214,2015-03-24.3885699,ba,1.64,16.123,13.328,0.017,17.905,0.275,V
2457108.87158,2015-03-27.3682423,ba,1.65,15.838,13.337,0.022,17.741,0.356,V
2457108.87318,2015-03-27.3698420,ba,1.69,15.947,13.331,0.020,17.843,0.322,V
2457114.86572,2015-04-02.3628601,ba,1.79,15.312,13.229,0.032,19.591,0.578,V
2457114.86736,2015-04-02.3645033,ba,1.71,15.382,13.361,0.034,17.372,0.542,V
2457118.85347,2015-04-06.3509680,ba,1.78,14.761,13.364,0.061,17.312,0.958,V
2457118.85504,2015-04-06.3525456,ba,1.71,14.777,13.339,0.058,17.710,0.945,V
2457119.78248,2015-04-07.2800646,ba,1.71,16.204,13.355,0.016,17.444,0.255,V
2457119.78407,2015-04-07.2816511,ba,1.68,16.226,13.345,0.015,17.606,0.250,V
2457122.80793,2015-04-10.3057864,ba,1.68,16.219,13.351,0.016,17.509,0.252,V
2457122.80954,2015-04-10.3073894,ba,1.64,16.244,13.337,0.015,17.745,0.246,V
2457125.82184,2015-04-13.3199686,ba,1.64,16.062,13.338,0.018,17.729,0.290,V
2457125.82364,2015-04-13.3217649,ba,1.69,16.163,13.309,0.016,18.210,0.265,V
2457126.82273,2015-04-14.3209550,ba,2.01,14.659,13.483,0.074,15.517,1.052,V
2457126.82424,2015-04-14.3224662,ba,2.00,14.296,13.480,0.103,15.565,1.469,V
2457128.80608,2015-04-16.3044899,ba,1.71,16.089,13.373,0.018,17.165,0.284,V
2457128.80765,2015-04-16.3060605,ba,1.71,16.033,13.377,0.019,17.108,0.298,V
