HJD,UT Date,Camera,FWHM,Limit,mag,mag_err,flux(mJy),flux_err
2457457.80893,2016-03-10.3044362,ba,2.00,16.223,13.308,0.015,18.216,0.252
2457457.81017,2016-03-10.3056793,ba,2.03,16.104,13.303,0.017,18.325,0.280
2457460.77887,2016-03-13.2745540,ba,1.73,16.113,13.352,0.017,17.498,0.278
2457460.78012,2016-03-13.2758101,ba,1.71,16.092,13.381,0.018,17.038,0.284
2457460.78138,2016-03-13.2770638,ba,1.73,16.056,13.337,0.018,17.743,0.293
2457469.85432,2016-03-22.3506373,ba,2.06,15.158,13.446,0.045,16.049,0.665
2457469.85557,2016-03-22.3518850,ba,2.01,15.393,13.395,0.035,16.818,0.536
2457469.85682,2016-03-22.3531409,ba,1.99,15.272,13.441,0.041,16.113,0.600
2457472.88132,2016-03-25.3778714,ba,2.08,15.653,13.373,0.027,17.173,0.423
2457472.88257,2016-03-25.3791231,ba,2.04,15.590,13.355,0.028,17.457,0.448
2457472.88382,2016-03-25.3803762,ba,2.08,15.720,13.362,0.025,17.342,0.399
2457475.76576,2016-03-28.2625395,ba,1.69,16.087,13.345,0.018,17.607,0.284
2457475.76701,2016-03-28.2637921,ba,1.69,16.123,13.290,0.016,18.532,0.278
2457475.76826,2016-03-28.2650465,ba,1.70,16.137,13.439,0.018,16.162,0.272
2457478.86112,2016-03-31.3581606,ba,1.84,16.055,13.353,0.018,17.489,0.293
2457478.86238,2016-03-31.3594145,ba,1.75,16.124,13.369,0.017,17.222,0.275
2457478.86368,2016-03-31.3607130,ba,1.75,16.136,13.358,0.017,17.405,0.272
2457480.80440,2016-04-02.3016025,ba,1.67,16.038,13.293,0.017,18.478,0.299
2457480.80565,2016-04-02.3028547,ba,1.67,16.109,13.257,0.016,19.087,0.280
2457480.80691,2016-04-02.3041101,ba,1.70,16.130,13.292,0.016,18.498,0.275
2457482.85009,2016-04-04.3474633,ba,1.72,16.158,13.314,0.016,18.132,0.266
2457482.85134,2016-04-04.3487173,ba,1.75,16.144,13.321,0.016,18.016,0.271
2457482.85258,2016-04-04.3499594,ba,1.70,16.079,13.312,0.017,18.164,0.288
2457488.80215,2016-04-10.3000589,ba,1.70,16.162,13.389,0.017,16.906,0.266
2457488.80340,2016-04-10.3013070,ba,1.69,16.100,13.418,0.019,16.483,0.283
2457488.80464,2016-04-10.3025475,ba,1.73,16.073,13.373,0.018,17.177,0.288
2457498.79650,2016-04-20.2953508,ba,1.67,15.617,13.336,0.027,17.755,0.437
2457498.79775,2016-04-20.2965994,ba,1.66,15.507,13.381,0.031,17.055,0.482
2457498.79900,2016-04-20.2978523,ba,1.65,15.612,13.383,0.028,17.007,0.439
2457501.78921,2016-04-23.2883445,ba,1.72,15.778,13.347,0.023,17.586,0.378
2457501.79045,2016-04-23.2895854,ba,1.74,15.779,13.339,0.023,17.707,0.379
2457501.79170,2016-04-23.2908366,ba,1.75,15.848,13.337,0.022,17.742,0.355
2457504.78245,2016-04-26.2818743,ba,2.01,16.102,13.294,0.016,18.466,0.281
2457504.78369,2016-04-26.2831189,ba,1.79,16.076,13.301,0.017,18.356,0.288
2457504.78495,2016-04-26.2843842,ba,1.99,16.006,13.279,0.018,18.727,0.307
2457507.77183,2016-04-29.2715489,ba,2.00,15.978,13.308,0.019,18.230,0.314
2457507.77312,2016-04-29.2728440,ba,2.00,16.044,13.329,0.018,17.879,0.296
2457507.77438,2016-04-29.2741006,ba,2.01,16.077,13.300,0.017,18.356,0.288
2457509.76441,2016-05-01.2643285,ba,1.63,16.120,13.385,0.018,16.979,0.277
2457509.76565,2016-05-01.2655699,ba,1.68,15.965,13.313,0.019,18.146,0.318
2457509.76691,2016-05-01.2668223,ba,1.69,16.083,13.327,0.017,17.900,0.287
2457510.76458,2016-05-02.2645942,ba,1.78,16.005,13.367,0.019,17.262,0.307
2457510.76583,2016-05-02.2658497,ba,1.78,16.066,13.320,0.017,18.035,0.290
2457510.76708,2016-05-02.2670922,ba,1.75,16.071,13.332,0.018,17.830,0.290
2457512.74976,2016-05-04.2499732,ba,1.70,16.050,13.380,0.019,17.054,0.294
2457512.75103,2016-05-04.2512371,ba,1.70,16.073,13.403,0.019,16.699,0.288
2457512.75228,2016-05-04.2524894,ba,1.67,16.031,13.393,0.019,16.843,0.300
2457514.75576,2016-05-06.2561653,ba,1.69,15.972,13.398,0.020,16.786,0.317
2457514.75703,2016-05-06.2574386,ba,1.66,16.067,13.382,0.018,17.018,0.289
2457514.75828,2016-05-06.2586907,ba,1.66,16.138,13.374,0.017,17.142,0.273
2457670.09266,2016-10-08.5952119,ba,1.65,16.028,13.325,0.018,17.950,0.304
2457670.09391,2016-10-08.5964677,ba,1.80,15.903,13.287,0.020,18.580,0.338
2457670.09516,2016-10-08.5977221,ba,1.69,15.938,13.324,0.020,17.969,0.328
2457671.08492,2016-10-09.5873918,ba,1.71,15.974,13.298,0.019,18.384,0.315
2457671.08619,2016-10-09.5886579,ba,1.69,15.951,13.254,0.018,19.160,0.325
2457672.08787,2016-10-10.5902527,ba,1.67,15.926,13.299,0.019,18.386,0.332
2457672.08914,2016-10-10.5915177,ba,1.71,16.067,13.308,0.017,18.242,0.293
2457672.09039,2016-10-10.5927709,ba,1.64,16.045,13.283,0.017,18.651,0.298
2457672.13389,2016-10-10.6362665,ba,1.67,16.101,13.264,0.016,18.993,0.283
2457672.13515,2016-10-10.6375187,ba,1.67,15.901,13.262,0.019,19.006,0.339
2457672.13640,2016-10-10.6387717,ba,1.67,15.893,13.283,0.020,18.656,0.341
2457674.11862,2016-10-12.6208171,ba,1.77,16.026,13.284,0.018,18.621,0.303
2457674.11988,2016-10-12.6220736,ba,1.77,15.904,13.267,0.019,18.934,0.339
2457674.12115,2016-10-12.6233370,ba,1.76,15.968,13.250,0.018,19.227,0.320
2457676.07500,2016-10-14.5770091,ba,1.79,15.220,13.370,0.040,17.214,0.630
2457676.07625,2016-10-14.5782642,ba,1.70,15.479,13.404,0.033,16.689,0.498
2457676.07751,2016-10-14.5795178,ba,1.83,15.395,13.297,0.032,18.410,0.537
2457679.06986,2016-10-17.5715888,ba,2.02,15.380,13.408,0.036,16.609,0.544
2457679.07113,2016-10-17.5728541,ba,1.82,15.556,13.459,0.032,15.860,0.463
2457679.07238,2016-10-17.5741069,ba,2.03,15.556,13.390,0.030,16.899,0.462
2457692.12217,2016-10-30.6226190,ba,2.28,16.007,13.329,0.019,17.871,0.306
2457692.12341,2016-10-30.6238594,ba,2.22,16.030,13.302,0.018,18.341,0.301
2457692.12466,2016-10-30.6251112,ba,2.25,15.953,13.324,0.019,17.972,0.322
2457697.09462,2016-11-04.5945796,ba,1.71,15.987,13.291,0.018,18.517,0.316
2457697.09588,2016-11-04.5958409,ba,1.71,16.162,13.295,0.016,18.456,0.268
2457697.09715,2016-11-04.5971086,ba,1.69,16.071,13.303,0.017,18.311,0.290
2457700.02611,2016-11-07.5257722,ba,1.69,15.955,13.295,0.020,18.441,0.327
2457700.02736,2016-11-07.5270307,ba,1.69,15.954,13.321,0.019,18.009,0.323
2457700.02863,2016-11-07.5282943,ba,1.70,15.694,13.341,0.025,17.681,0.409
2457701.00699,2016-11-08.5065540,ba,1.74,15.686,13.381,0.026,17.046,0.411
2457701.00824,2016-11-08.5078020,ba,1.68,15.673,13.394,0.027,16.849,0.416
2457701.00950,2016-11-08.5090702,ba,1.71,15.695,13.361,0.026,17.362,0.410
2457702.00300,2016-11-09.5024741,ba,1.74,16.023,13.357,0.019,17.412,0.304
2457702.00425,2016-11-09.5037222,ba,1.71,16.078,13.411,0.019,16.573,0.289
2457702.00554,2016-11-09.5050129,ba,1.78,16.048,13.379,0.019,17.076,0.295
2457704.00917,2016-11-11.5084393,ba,1.63,15.695,13.462,0.028,15.823,0.407
2457704.01042,2016-11-11.5096930,ba,1.67,15.576,13.420,0.030,16.442,0.454
2457704.01168,2016-11-11.5109562,ba,1.63,15.593,13.475,0.031,15.635,0.447
2457706.99165,2016-11-14.4906254,ba,1.75,15.179,13.441,0.044,16.138,0.653
2457706.99290,2016-11-14.4918807,ba,1.76,15.212,>15.212,99.990,-4.029,0.632
2457708.99489,2016-11-16.4936690,ba,2.11,15.210,13.386,0.041,16.962,0.635
2457708.99626,2016-11-16.4950347,ba,2.18,15.293,13.399,0.038,16.750,0.589
2457708.99751,2016-11-16.4962901,ba,2.13,15.322,13.409,0.038,16.607,0.572
2457718.15969,2016-11-25.6575983,ba,2.12,15.479,13.310,0.030,18.193,0.498
2457718.16094,2016-11-25.6588464,ba,2.19,15.539,13.295,0.028,18.442,0.470
2457718.16220,2016-11-25.6601128,ba,2.17,15.256,13.265,0.035,18.964,0.612
2457719.13959,2016-11-26.6374057,ba,1.80,15.969,13.236,0.018,19.485,0.320
2457719.14084,2016-11-26.6386555,ba,1.69,15.993,13.247,0.017,19.271,0.313
2457719.14210,2016-11-26.6399193,ba,1.79,15.961,13.248,0.018,19.254,0.321
2457719.81334,2016-11-27.3110943,be,1.49,15.933,13.275,0.019,18.789,0.326
2457719.81464,2016-11-27.3123959,be,1.44,15.897,13.274,0.020,18.810,0.338
2457719.81589,2016-11-27.3136457,be,1.45,16.048,13.286,0.017,18.593,0.294
2457721.03746,2016-11-28.5351050,ba,1.80,15.980,13.264,0.018,18.985,0.315
2457721.03871,2016-11-28.5363582,ba,1.76,16.026,13.259,0.017,19.068,0.301
2457721.03996,2016-11-28.5376093,ba,1.78,16.116,13.263,0.016,18.998,0.280
2457724.76735,2016-12-02.2646629,be,1.62,16.067,13.428,0.019,16.324,0.288
2457724.76864,2016-12-02.2659488,be,1.64,15.915,13.324,0.020,17.946,0.331
2457724.76994,2016-12-02.2672458,be,1.56,15.962,13.371,0.020,17.195,0.318
2457727.77741,2016-12-05.2744685,be,1.55,15.951,13.381,0.020,17.049,0.321
2457727.77870,2016-12-05.2757530,be,1.53,15.978,13.432,0.021,16.266,0.313
2457727.77999,2016-12-05.2770446,be,1.61,15.962,13.464,0.022,15.792,0.317
2457735.72884,2016-12-13.2252495,be,1.52,15.315,13.425,0.039,16.363,0.576
2457735.73015,2016-12-13.2265520,be,1.58,15.463,13.403,0.033,16.697,0.502
2457735.73143,2016-12-13.2278331,be,1.66,15.365,13.405,0.036,16.675,0.550
2457745.09787,2016-12-22.5936039,ba,2.03,16.037,13.240,0.017,19.407,0.299
2457745.09915,2016-12-22.5948822,ba,2.01,16.080,13.272,0.016,18.841,0.288
2457745.10044,2016-12-22.5961706,ba,2.08,16.002,13.273,0.018,18.825,0.312
2457747.00781,2016-12-24.5034244,ba,2.02,16.162,13.336,0.016,17.775,0.269
2457747.00908,2016-12-24.5046918,ba,1.78,16.071,13.308,0.017,18.230,0.290
2457747.01033,2016-12-24.5059428,ba,1.75,16.159,13.262,0.015,19.005,0.268
2457750.70558,2016-12-28.2009625,be,1.49,15.985,13.441,0.021,16.133,0.311
2457750.70686,2016-12-28.2022476,be,1.55,16.026,13.398,0.019,16.780,0.300
2457750.70816,2016-12-28.2035462,be,1.43,16.014,13.410,0.020,16.590,0.304
2457753.69424,2016-12-31.1894570,be,1.45,15.957,13.468,0.022,15.736,0.319
2457753.69554,2016-12-31.1907585,be,1.54,16.001,13.410,0.020,16.589,0.306
2457753.69684,2016-12-31.1920543,be,1.52,16.002,13.474,0.021,15.645,0.306
2457756.98577,2017-01-03.4808181,ba,1.62,16.145,13.345,0.017,17.627,0.273
2457756.98702,2017-01-03.4820715,ba,1.61,16.193,13.397,0.017,16.803,0.260
2457756.98827,2017-01-03.4833215,ba,1.66,16.160,13.404,0.017,16.686,0.268
2457759.85028,2017-01-06.3452009,ba,2.05,15.744,13.383,0.025,17.008,0.390
2457759.85156,2017-01-06.3464841,ba,2.08,15.764,13.339,0.024,17.713,0.382
2457759.85282,2017-01-06.3477342,ba,2.08,15.792,13.341,0.023,17.686,0.374
2457762.05621,2017-01-08.5510393,ba,1.67,16.234,13.359,0.015,17.403,0.253
2457762.05748,2017-01-08.5523033,ba,1.64,16.106,13.273,0.016,18.812,0.281
2457762.05873,2017-01-08.5535552,ba,1.66,16.178,13.267,0.015,18.922,0.266
2457762.84408,2017-01-09.3388744,ba,1.71,15.480,13.438,0.033,16.175,0.496
2457762.84533,2017-01-09.3401288,ba,1.68,15.470,13.357,0.031,17.411,0.501
2457762.84658,2017-01-09.3413783,ba,1.66,15.695,13.343,0.025,17.648,0.409
2457765.06144,2017-01-11.5561517,ba,1.69,15.336,13.303,0.034,18.310,0.567
2457765.06276,2017-01-11.5574729,ba,1.88,15.043,13.274,0.043,18.798,0.740
2457765.06403,2017-01-11.5587378,ba,1.76,15.265,13.219,0.033,19.784,0.607
2457770.06804,2017-01-16.5625915,ba,2.32,15.571,13.309,0.027,18.216,0.456
2457770.06932,2017-01-16.5638806,ba,2.22,15.546,13.328,0.029,17.902,0.466
2457770.07057,2017-01-16.5651295,ba,2.29,15.297,13.305,0.035,18.278,0.586
2457771.98513,2017-01-18.4796325,ba,2.23,15.783,13.347,0.023,17.580,0.376
2457771.98763,2017-01-18.4821324,ba,2.27,15.705,13.341,0.025,17.675,0.403
2457772.65328,2017-01-19.1477678,be,1.42,16.001,13.363,0.019,17.333,0.307
2457772.65457,2017-01-19.1490564,be,1.40,15.888,13.444,0.023,16.087,0.340
2457772.65586,2017-01-19.1503517,be,1.41,15.959,13.433,0.021,16.234,0.319
2457778.05243,2017-01-24.5468208,ba,1.80,16.107,13.424,0.018,16.390,0.281
2457778.05369,2017-01-24.5480862,ba,1.80,16.198,13.430,0.017,16.296,0.258
2457778.05495,2017-01-24.5493390,ba,1.69,16.064,13.374,0.018,17.145,0.292
2457781.03854,2017-01-27.5328995,ba,1.65,16.093,13.367,0.018,17.257,0.283
2457781.03983,2017-01-27.5341865,ba,1.69,16.017,13.344,0.019,17.630,0.305
2457781.04111,2017-01-27.5354730,ba,1.71,16.085,13.424,0.019,16.380,0.287
2457784.03184,2017-01-30.5261833,ba,1.79,16.073,13.400,0.019,16.752,0.289
2457784.03310,2017-01-30.5274458,ba,1.77,16.101,13.349,0.017,17.562,0.282
2457784.03437,2017-01-30.5287128,ba,1.77,16.085,13.395,0.018,16.817,0.288
2457786.02482,2017-02-01.5191571,ba,1.83,15.507,13.413,0.032,16.550,0.485
2457786.02610,2017-02-01.5204365,ba,1.77,15.615,13.373,0.028,17.178,0.439
2457786.02738,2017-02-01.5217136,ba,1.86,15.786,13.396,0.024,16.813,0.375
2457786.81008,2017-02-02.3044160,ba,1.64,16.042,13.393,0.019,16.866,0.298
2457786.81135,2017-02-02.3056900,ba,1.66,15.983,13.293,0.018,18.491,0.315
2457786.81262,2017-02-02.3069631,ba,1.63,16.031,13.331,0.018,17.838,0.301
2457787.91217,2017-02-03.4065167,ba,2.04,16.115,13.310,0.017,18.189,0.278
2457787.91346,2017-02-03.4077975,ba,2.01,16.074,13.308,0.017,18.238,0.289
2457787.91473,2017-02-03.4090717,ba,2.00,16.150,13.292,0.016,18.499,0.269
2457797.69328,2017-02-13.1877380,be,1.46,15.597,13.461,0.031,15.835,0.444
2457797.69459,2017-02-13.1890540,be,1.45,15.476,13.504,0.036,15.220,0.496
2457797.69589,2017-02-13.1903478,be,1.44,15.510,13.496,0.034,15.335,0.481
2457798.85430,2017-02-14.3487871,ba,1.75,15.763,13.408,0.025,16.617,0.382
2457798.85559,2017-02-14.3500714,ba,1.76,15.832,13.430,0.024,16.295,0.359
2457798.85687,2017-02-14.3513581,ba,1.77,15.600,13.421,0.030,16.432,0.443
2457800.84846,2017-02-16.3429918,ba,1.70,16.176,13.420,0.017,16.450,0.263
2457800.84973,2017-02-16.3442693,ba,1.71,16.100,13.396,0.018,16.812,0.282
2457800.85101,2017-02-16.3455475,ba,1.67,16.104,13.402,0.018,16.712,0.281
2457803.77933,2017-02-19.2739488,ba,1.63,16.074,13.302,0.017,18.328,0.290
2457803.78061,2017-02-19.2752233,ba,1.63,16.049,13.374,0.019,17.151,0.296
2457803.78190,2017-02-19.2765129,ba,1.65,16.074,13.397,0.019,16.793,0.289
2457805.60838,2017-02-21.1030577,be,1.51,16.021,13.353,0.019,17.481,0.301
2457805.60969,2017-02-21.1043709,be,1.52,15.996,13.408,0.020,16.621,0.308
2457805.61100,2017-02-21.1056810,be,1.50,15.971,13.426,0.021,16.349,0.315
2457806.72560,2017-02-22.2203119,ba,1.73,15.290,13.418,0.039,16.471,0.590
2457806.72687,2017-02-22.2215827,ba,1.71,15.117,13.402,0.045,16.716,0.691
2457806.72816,2017-02-22.2228702,ba,1.69,15.549,13.444,0.032,16.079,0.466
2457807.96355,2017-02-23.4583122,ba,1.72,16.130,13.381,0.017,17.042,0.275
2457807.96482,2017-02-23.4595787,ba,1.71,16.145,13.346,0.017,17.605,0.271
2457807.96608,2017-02-23.4608437,ba,1.77,16.048,13.435,0.020,16.217,0.298
2457816.82324,2017-03-04.3183995,ba,1.74,15.979,13.359,0.020,17.396,0.315
2457816.82452,2017-03-04.3196738,ba,1.73,15.981,13.302,0.019,18.318,0.315
2457816.82579,2017-03-04.3209497,ba,1.70,16.062,13.348,0.018,17.567,0.293
2457817.73254,2017-03-05.2277418,be,1.55,15.888,13.318,0.020,18.063,0.340
2457817.73384,2017-03-05.2290383,be,1.62,15.873,13.367,0.022,17.272,0.344
2457817.73514,2017-03-05.2303390,be,1.60,15.916,13.307,0.020,18.250,0.332
2457825.87591,2017-03-13.3715875,ba,1.63,15.344,13.383,0.036,17.001,0.562
2457825.87719,2017-03-13.3728645,ba,1.65,15.469,13.355,0.031,17.450,0.502
2457825.87845,2017-03-13.3741309,ba,1.67,15.507,13.464,0.033,15.790,0.485
2457827.90622,2017-03-15.4020278,ba,1.65,15.761,13.320,0.023,18.029,0.384
2457827.90750,2017-03-15.4033081,ba,1.70,15.666,13.398,0.027,16.784,0.418
2457827.90878,2017-03-15.4045943,ba,1.67,15.849,13.348,0.022,17.569,0.355
2457829.79589,2017-03-17.2918277,ba,1.70,16.076,13.395,0.019,16.831,0.287
2457829.79716,2017-03-17.2931019,ba,1.73,16.171,13.325,0.016,17.954,0.265
2457829.79843,2017-03-17.2943685,ba,1.73,16.136,13.352,0.017,17.512,0.276
2457833.89519,2017-03-21.3914177,ba,2.04,16.062,13.306,0.017,18.271,0.292
2457833.89646,2017-03-21.3926903,ba,2.02,16.201,13.298,0.015,18.392,0.259
2457833.89774,2017-03-21.3939695,ba,2.05,16.111,13.330,0.017,17.854,0.278
2457835.62472,2017-03-23.1210811,be,1.43,15.970,13.337,0.019,17.748,0.317
2457835.62602,2017-03-23.1223807,be,1.40,15.923,13.350,0.020,17.541,0.330
2457835.62733,2017-03-23.1236901,be,1.45,15.948,13.295,0.019,18.451,0.324
2457837.84314,2017-03-25.3396667,ba,1.70,16.078,13.269,0.017,18.900,0.293
2457837.84440,2017-03-25.3409305,ba,1.79,16.121,13.287,0.016,18.576,0.278
2457837.84567,2017-03-25.3421958,ba,1.74,15.998,13.213,0.017,19.906,0.312
2457839.80881,2017-03-27.3054954,ba,1.83,15.879,13.265,0.020,18.965,0.347
2457839.81007,2017-03-27.3067577,ba,1.76,15.877,13.312,0.021,18.159,0.345
2457839.81134,2017-03-27.3080241,ba,1.78,15.982,13.287,0.018,18.582,0.317
2457840.87798,2017-03-28.3747491,ba,1.65,16.097,13.361,0.018,17.365,0.284
2457840.87924,2017-03-28.3760113,ba,1.66,15.996,13.393,0.020,16.854,0.312
2457840.88052,2017-03-28.3772885,ba,1.67,15.997,13.306,0.018,18.267,0.310
2457842.84380,2017-03-30.3407284,ba,1.75,16.113,13.403,0.018,16.694,0.279
2457842.84508,2017-03-30.3420087,ba,1.76,16.157,13.359,0.017,17.397,0.269
2457842.84635,2017-03-30.3432850,ba,1.77,16.127,13.386,0.018,16.962,0.275
2457845.80206,2017-04-02.2992393,ba,1.65,16.099,13.365,0.018,17.290,0.285
