HJD,UT Date,Camera,FWHM,Limit,mag,mag_err,flux(mJy),flux_err
2457845.80332,2017-04-02.3005083,ba,1.68,16.043,13.343,0.018,17.651,0.297
2457845.80459,2017-04-02.3017717,ba,1.63,15.948,13.398,0.021,16.780,0.326
2457851.76022,2017-04-08.2579245,ba,2.35,15.438,13.359,0.032,17.390,0.515
2457851.76148,2017-04-08.2591825,ba,2.27,15.457,13.325,0.031,17.952,0.506
2457851.76275,2017-04-08.2604555,ba,2.31,15.396,13.277,0.031,18.749,0.536
2457854.62700,2017-04-11.1249690,be,1.43,15.409,13.419,0.035,16.456,0.528
2457854.62827,2017-04-11.1262305,be,1.43,15.423,13.428,0.035,16.317,0.521
2457854.62953,2017-04-11.1274931,be,1.48,15.418,13.502,0.038,15.240,0.524
2457855.76934,2017-04-12.2674072,ba,1.68,15.836,13.362,0.022,17.333,0.360
2457855.77060,2017-04-12.2686695,ba,1.65,15.731,13.353,0.025,17.471,0.396
2457855.77186,2017-04-12.2699333,ba,1.61,15.780,13.438,0.025,16.179,0.378
2457863.80493,2017-04-20.3037534,ba,1.66,16.079,13.294,0.017,18.462,0.289
2457863.80620,2017-04-20.3050229,ba,1.64,16.054,13.338,0.018,17.733,0.296
2457863.80746,2017-04-20.3062875,ba,1.65,16.008,13.244,0.017,19.333,0.310
2457866.54768,2017-04-23.0467754,be,1.45,15.976,13.455,0.021,15.921,0.314
2457866.54895,2017-04-23.0480392,be,1.43,15.897,13.392,0.022,16.879,0.337
2457866.55021,2017-04-23.0493053,be,1.43,15.896,13.437,0.023,16.190,0.337
2457869.59268,2017-04-26.0920744,be,1.81,15.844,13.340,0.022,17.699,0.355
2457869.59396,2017-04-26.0933467,be,1.82,15.857,13.321,0.021,18.011,0.351
2457869.59527,2017-04-26.0946534,be,1.73,15.740,13.336,0.024,17.754,0.391
2457871.77540,2017-04-28.2749998,ba,1.71,15.990,13.390,0.020,16.916,0.312
2457871.77667,2017-04-28.2762723,ba,1.72,16.051,13.276,0.017,18.781,0.299
2457871.77793,2017-04-28.2775362,ba,1.63,16.010,13.335,0.019,17.775,0.306
2457874.57274,2017-05-01.0726159,be,1.49,15.817,13.352,0.023,17.491,0.363
2457874.57402,2017-05-01.0738894,be,1.50,15.925,13.352,0.020,17.507,0.329
2457874.57528,2017-05-01.0751534,be,1.50,15.925,13.313,0.020,18.132,0.330
2457879.56572,2017-05-06.0660875,be,1.43,15.545,13.354,0.029,17.461,0.467
2457879.56699,2017-05-06.0673557,be,1.37,15.374,13.451,0.037,15.973,0.545
2457879.56826,2017-05-06.0686210,be,1.42,15.371,13.411,0.036,16.585,0.546
2457882.73942,2017-05-09.2400883,ba,1.74,15.556,13.350,0.029,17.546,0.464
2457882.74068,2017-05-09.2413583,ba,1.72,15.675,13.328,0.025,17.896,0.417
2457882.74196,2017-05-09.2426298,ba,1.72,15.562,13.413,0.030,16.555,0.461
2457887.50421,2017-05-14.0053440,be,1.59,15.755,13.307,0.023,18.241,0.384
2457887.50548,2017-05-14.0066109,be,1.63,15.868,13.358,0.022,17.397,0.346
2457887.50674,2017-05-14.0078733,be,1.65,15.843,13.371,0.022,17.190,0.354
2457893.52029,2017-05-20.0219996,be,1.62,15.915,13.353,0.021,17.476,0.332
2457893.52156,2017-05-20.0232677,be,1.66,15.913,13.301,0.020,18.339,0.333
2457893.52282,2017-05-20.0245306,be,1.66,15.877,13.372,0.022,17.179,0.343
2457894.49899,2017-05-21.0007849,be,1.42,16.010,13.393,0.020,16.855,0.305
2457894.50026,2017-05-21.0020548,be,1.41,15.938,13.352,0.020,17.497,0.325
2457895.50754,2017-05-22.0094359,be,1.45,15.889,13.359,0.021,17.386,0.340
2457895.50881,2017-05-22.0106995,be,1.46,15.852,13.323,0.021,17.965,0.351
2457895.51007,2017-05-22.0119620,be,1.44,15.902,13.399,0.022,16.765,0.335
2457901.50178,2017-05-28.0042206,be,1.62,15.895,13.436,0.023,16.200,0.338
2457901.50304,2017-05-28.0054771,be,1.73,15.943,13.483,0.023,15.513,0.323
2457901.50429,2017-05-28.0067305,be,1.68,15.832,13.395,0.023,16.826,0.358
2457906.47102,2017-06-01.9738859,be,1.64,15.709,13.435,0.027,16.207,0.402
2457906.47228,2017-06-01.9751491,be,1.75,15.709,13.291,0.024,18.499,0.401
2457906.47354,2017-06-01.9764127,be,1.77,15.627,13.336,0.027,17.772,0.433
2457913.45815,2017-06-08.9615936,be,1.46,15.523,13.406,0.031,16.640,0.476
2457913.45941,2017-06-08.9628554,be,1.43,15.389,13.416,0.036,16.496,0.538
2457913.46067,2017-06-08.9641199,be,1.43,15.479,13.366,0.031,17.267,0.497
2458026.11679,2017-09-29.6201427,ba,1.71,15.952,13.365,0.020,17.295,0.326
2458026.11806,2017-09-29.6214085,ba,1.75,15.849,13.370,0.022,17.215,0.357
2458026.11934,2017-09-29.6226843,ba,1.71,15.794,13.368,0.023,17.254,0.372
2458027.11639,2017-09-30.6196548,ba,1.73,15.954,13.417,0.022,16.487,0.327
2458027.11767,2017-09-30.6209311,ba,1.77,15.901,13.285,0.020,18.626,0.343
2458027.11893,2017-09-30.6221957,ba,1.69,15.796,13.330,0.023,17.852,0.374
2458028.10793,2017-10-01.6111160,ba,1.71,15.849,13.379,0.023,17.073,0.357
2458028.10921,2017-10-01.6123913,ba,1.69,15.723,13.456,0.027,15.894,0.399
2458028.11047,2017-10-01.6136547,ba,1.71,15.854,13.408,0.023,16.610,0.354
2458034.09332,2017-10-07.5959962,ba,1.71,15.499,13.322,0.030,17.995,0.491
2458034.09460,2017-10-07.5972703,ba,1.70,15.614,13.352,0.027,17.505,0.440
2458034.09586,2017-10-07.5985363,ba,1.74,15.527,13.360,0.030,17.373,0.479
2458046.11189,2017-10-19.6134498,ba,2.38,15.832,13.291,0.021,18.521,0.361
2458046.11317,2017-10-19.6147218,ba,2.31,15.838,13.269,0.021,18.893,0.358
2458046.11443,2017-10-19.6159871,ba,2.36,15.718,13.300,0.024,18.353,0.400
2458054.03971,2017-10-27.5405016,ba,1.75,14.833,13.813,0.087,11.444,0.901
2458054.04098,2017-10-27.5417650,ba,1.76,14.380,13.408,0.091,16.617,1.377
2458054.04224,2017-10-27.5430275,ba,1.73,14.398,13.363,0.085,17.330,1.341
2458056.03580,2017-10-29.5363947,ba,1.67,16.066,13.424,0.019,16.375,0.294
2458056.03707,2017-10-29.5376615,ba,1.67,15.951,13.248,0.019,19.255,0.331
2458060.02716,2017-11-02.5273490,ba,2.06,15.484,13.685,0.043,12.882,0.498
2458060.02842,2017-11-02.5286129,ba,2.05,15.201,13.331,0.039,17.834,0.644
2458060.02970,2017-11-02.5298896,ba,2.04,15.408,13.262,0.031,19.015,0.541
2458061.02330,2017-11-03.5233912,ba,2.14,15.478,13.415,0.034,16.517,0.502
2458061.02456,2017-11-03.5246556,ba,2.11,15.138,13.407,0.046,16.640,0.693
2458061.02582,2017-11-03.5259187,ba,2.11,15.246,14.233,0.087,7.780,0.614
2458062.02218,2017-11-04.5221767,ba,2.26,14.976,13.396,0.051,16.819,0.791
2458062.02345,2017-11-04.5234422,ba,2.33,15.143,13.369,0.043,17.219,0.677
2458062.02471,2017-11-04.5247071,ba,2.30,14.917,13.394,0.055,16.838,0.837
2458064.02989,2017-11-06.5296839,ba,1.73,15.350,13.414,0.037,16.525,0.563
2458064.03115,2017-11-06.5309484,ba,1.74,15.375,13.357,0.034,17.420,0.549
2458064.03242,2017-11-06.5322104,ba,1.80,15.453,13.305,0.030,18.281,0.512
2458065.07898,2017-11-07.5786695,ba,1.73,15.474,13.363,0.031,17.327,0.502
2458065.08026,2017-11-07.5799431,ba,1.78,15.539,13.425,0.031,16.362,0.472
2458065.08151,2017-11-07.5811991,ba,1.73,15.546,13.405,0.031,16.658,0.469
2458071.15543,2017-11-13.6545184,ba,1.72,15.842,13.418,0.024,16.476,0.358
2458071.15669,2017-11-13.6557752,ba,1.70,15.755,13.376,0.025,17.116,0.391
2458075.05964,2017-11-17.5583378,ba,1.81,16.040,13.425,0.020,16.362,0.301
2458075.06094,2017-11-17.5596482,ba,1.77,16.124,13.396,0.019,16.810,0.281
2458075.06221,2017-11-17.5609118,ba,1.69,16.014,13.404,0.021,16.687,0.310
2458077.81094,2017-11-20.3093756,be,1.54,15.769,13.390,0.024,16.902,0.379
2458077.81220,2017-11-20.3106342,be,1.65,15.850,13.442,0.024,16.122,0.352
2458077.81346,2017-11-20.3118989,be,1.69,15.877,13.447,0.023,16.034,0.343
2458080.78619,2017-11-23.2843401,be,1.41,15.827,13.334,0.022,17.809,0.360
2458080.78746,2017-11-23.2856085,be,1.42,15.828,13.298,0.021,18.389,0.359
2458080.78872,2017-11-23.2868733,be,1.43,15.888,13.358,0.021,17.413,0.340
2458092.03859,2017-12-04.5357293,ba,1.70,15.445,13.483,0.036,15.508,0.515
2458092.03985,2017-12-04.5369944,ba,1.71,15.307,13.351,0.036,17.521,0.582
2458092.04111,2017-12-04.5382498,ba,1.73,15.608,13.472,0.031,15.671,0.444
2458100.13574,2017-12-12.6322094,ba,2.09,15.894,13.376,0.022,17.106,0.341
2458100.13700,2017-12-12.6334748,ba,2.16,15.591,13.371,0.028,17.197,0.448
2458100.13828,2017-12-12.6347525,ba,2.11,15.793,13.376,0.024,17.115,0.374
2458101.05659,2017-12-13.5529861,ba,1.62,16.111,13.367,0.017,17.255,0.280
2458101.05785,2017-12-13.5542521,ba,1.66,16.129,13.396,0.019,16.810,0.279
2458101.05919,2017-12-13.5555960,ba,1.62,16.102,13.394,0.018,16.840,0.285
2458102.07241,2017-12-14.5687350,ba,1.80,16.001,13.350,0.019,17.544,0.313
2458102.07369,2017-12-14.5700064,ba,1.82,16.133,13.337,0.017,17.743,0.277
2458102.07496,2017-12-14.5712826,ba,1.83,16.057,13.349,0.018,17.550,0.296
2458107.78245,2017-12-20.2783572,be,1.44,15.773,13.304,0.022,18.302,0.378
2458107.78384,2017-12-20.2797472,be,1.51,15.862,13.336,0.021,17.757,0.349
2458107.78524,2017-12-20.2811481,be,1.47,15.882,13.317,0.021,18.083,0.342
2458117.01450,2017-12-29.5098307,ba,1.67,15.754,13.390,0.025,16.895,0.387
2458117.01610,2017-12-29.5114336,ba,1.65,15.881,13.374,0.022,17.160,0.346
2458117.01764,2017-12-29.5129708,ba,1.67,15.935,13.359,0.020,17.390,0.331
2458117.84553,2017-12-30.3408143,be,1.44,15.852,13.401,0.023,16.721,0.351
2458117.84692,2017-12-30.3421980,be,1.43,15.906,13.421,0.022,16.425,0.335
2458117.84832,2017-12-30.3435979,be,1.45,15.890,13.412,0.022,16.556,0.339
2458118.87212,2017-12-31.3673547,ba,1.78,15.082,13.407,0.047,16.638,0.719
2458118.87355,2017-12-31.3687754,ba,1.81,15.000,13.492,0.055,15.394,0.772
2458118.87488,2017-12-31.3701086,ba,1.88,14.889,13.381,0.055,17.052,0.855
2458119.99969,2018-01-01.4948599,ba,1.73,15.363,13.472,0.039,15.663,0.553
2458120.00107,2018-01-01.4962376,ba,1.72,15.658,13.459,0.029,15.854,0.424
2458120.00251,2018-01-01.4976766,ba,1.78,15.307,13.448,0.040,16.023,0.583
