data,wl,model_comp05,model_cool05,model_hot05,model_comp50,model_cool50,model_hot50,model_comp95,model_cool95,model_hot95
0.20946763891917078,16666.66468697858,0.22886704909685063,0.018050722760888024,0.21081632633596714,0.22827587096893998,0.08187120337409824,0.14640466759484635,0.2281632188138245,0.10367626762352068,0.12448695119030839
0.21134443111050358,16666.786230173686,0.23026237751903597,0.01817193279193849,0.21209044472710203,0.22961759656133374,0.08243551641884474,0.14718208014249365,0.22927189008261198,0.10428535738729332,0.12498653269532325
0.2146604076546029,16666.907756894674,0.23213517475719228,0.018313724192649403,0.21382145056454746,0.23139887337045875,0.0830359570836768,0.14836291628678663,0.23092702381170765,0.10505525674436339,0.1258717670673489
0.21141607373442492,16667.029267147143,0.23403080427277057,0.01845698382149943,0.21557382045127574,0.23336232075409177,0.08364755485474559,0.1497147658993509,0.23272191893097463,0.10585917402820219,0.1268627449027771
0.221264329044751,16667.150760936664,0.23589236681047335,0.0185991581155263,0.21729320869495172,0.2352845631103916,0.08428910937342207,0.15099545373697426,0.2345351391580182,0.10667924900089445,0.12785589015712848
0.23494173760148196,16667.272238268833,0.23756809931547612,0.01873277995513078,0.21883531936035003,0.23711095353131523,0.08495056453703925,0.15216038899428078,0.2363326181108115,0.10751081639526984,0.12882180171554639
0.23729182193243614,16667.393699149256,0.2388184408919414,0.01883888826072576,0.21997955263122038,0.23861313646700402,0.08552543675704265,0.15308769970996622,0.23788758845281927,0.10825495150468976,0.1296326369481343
0.22935597302411703,16667.51514358351,0.23944917971500146,0.01889862365957352,0.22055055605543267,0.23951849813988238,0.08590364617942496,0.15361485196046226,0.23891578486659104,0.1087675642656428,0.13014822060095305
0.24340406145765445,16667.636571577197,0.23939701393614818,0.018909911589657064,0.22048710234649585,0.23967887890507528,0.08603203883230573,0.15364684007277438,0.23925764288524617,0.1089722569406756,0.13028538594457537
0.2222901345164573,16667.757983135896,0.23868613953773382,0.01888085780208034,0.21980528173565822,0.23910991946779514,0.08590944962200073,0.15320046984579927,0.23892779494748617,0.10889394822236113,0.13003384672512983
0.21553651305596316,16667.87937826522,0.2375298210477069,0.018824631471362995,0.2187051895763486,0.23791224208717582,0.08555430543779309,0.15235793664938757,0.2380825306255641,0.1086020614127591,0.12948046921280976
0.22410971194932255,16668.00075697075,0.23619426589711218,0.018753388936516905,0.21744087696059994,0.23636997104650162,0.0850524689184455,0.1513175021280609,0.2369534108382389,0.10818059202690655,0.12877281881133712
0.21460477308161668,16668.122119258074,0.23486805932951937,0.018665424119362645,0.2162026352101614,0.23497004601847124,0.08456957543631462,0.15040047058216138,0.2357845664367429,0.10771286018135838,0.12807170625538922
0.1941760028225681,16668.243465132808,0.23340206869662336,0.018538507211583562,0.21486356148504443,0.2338167134102616,0.08415830041931659,0.14965841299094976,0.2346041855160403,0.10717126174164082,0.12743292377440418
0.20021326066938186,16668.36479460053,0.23135567821352612,0.01834115412104317,0.21301452409248753,0.23263415880247948,0.0836923900324202,0.148941768770064,0.23302348388434518,0.10637832531302624,0.1266451585713236
0.20851028113492487,16668.48610766684,0.2286103922536022,0.018043409943729067,0.21056698230987766,0.23081653986559786,0.08291647828608562,0.1479000615795169,0.23063452366908865,0.10513043288867249,0.1255040907804208
0.2188616812029082,16668.607404337337,0.22561169904421663,0.017629725892286285,0.20798197315193478,0.2279872937174234,0.08158950974123302,0.146397783976195,0.2273184624521859,0.10326631364545671,0.12405214880673375
0.2206372593238849,16668.728684617614,0.22336756944981914,0.01713523273716655,0.20623233671265695,0.2244869854589915,0.07960391966837313,0.1448830657906229,0.22352003766386275,0.10081702498448668,0.12270301267938055
0.21863176231380457,16668.84994851327,0.22271263372982658,0.016634258444147412,0.20607837528568348,0.22124559083181028,0.07709702099062189,0.14414856984119284,0.22013442146304132,0.09808252050546712,0.12205190095757862
0.21621000850422312,16668.971196029906,0.22366077705186108,0.016216436737508815,0.20744434031435655,0.21908380156461923,0.07447877147390836,0.1446050300907153,0.21792082932763823,0.09553524674017477,0.12238558258746783
0.21275993409249905,16669.092427173113,0.22535416050495896,0.01596503195522703,0.2093891285497362,0.2182257875918902,0.07242021640657194,0.14580557118532264,0.2170808517731404,0.0936671976111032,0.12341365416204154
0.23174098281932246,16669.213641948496,0.22673617416351985,0.01594720963933044,0.2107889645241937,0.21865077699758106,0.07182244166559887,0.14682833533198655,0.21729387867519825,0.09291096782747303,0.12438291084772958
0.22440273284980483,16669.334840361647,0.22760374313946208,0.016213840782568302,0.2113899023568981,0.22031985713947466,0.07311159814221929,0.14720825899725978,0.21843937431989696,0.09364730301493583,0.12479207130496552
0.22693616860205942,16669.45602241817,0.2284118990139535,0.016730566645816812,0.2116813323681411,0.22328025856658265,0.07586292166036061,0.14741733690622652,0.22076275116041516,0.09592147693779929,0.12484127422262031
0.24023147828328378,16669.57718812367,0.2296235515008593,0.01736949007062162,0.21225406143024214,0.2271910235359788,0.0791772947829983,0.14801372875298507,0.224245702989842,0.09921849252226746,0.12502721046757903
0.23017903833842335,16669.698337483733,0.2314471720001235,0.017983944552016413,0.21346322744811164,0.23138713333508037,0.08219948301296631,0.14918765032211875,0.22838042674884546,0.10272238425767007,0.12565804249117996
0.2358054450959222,16669.819470503982,0.2337875705209544,0.01847288997924085,0.21531468054171815,0.2350507633266921,0.08440033583675548,0.1506504274899414,0.2325332369630589,0.10574326850629974,0.1267899684567638
0.24283278312999002,16669.940587189994,0.23603426682770295,0.018798931908789077,0.21723533491891858,0.23750258902576,0.08567500371140302,0.15182758531436177,0.2360127918909324,0.10790887213550221,0.12810391975543492
0.2446921541403665,16670.061687547382,0.23756072288578567,0.01897931583882656,0.21858140704696383,0.23860792222087354,0.08622438403079269,0.15238353819008568,0.23829462446131167,0.109181367222895,0.12911325723842143
0.24728623024490914,16670.18277158176,0.23830805230899693,0.01906037326358405,0.21924767904541761,0.23886638058167875,0.08636043002394282,0.15250595055774074,0.23940576164673544,0.10977214990673724,0.12963361174000299
0.26216561185242865,16670.30383929871,0.23865660122880863,0.01908776108620325,0.21956884014261013,0.23888370233803563,0.0863544131822813,0.15252928915575914,0.23982855045597556,0.10997772320301602,0.12985082725296437
