data,wl,model_comp05,model_cool05,model_hot05,model_comp50,model_cool50,model_hot50,model_comp95,model_cool95,model_hot95
0.8999058683077672,15550.094782529373,0.9524735245140225,0.00025048358911812025,0.9522230409249093,0.9488720119569893,0.0172201983880587,0.9316518135689349,0.9453321033525888,0.13255826154597153,0.8127738418066224
0.8729756364156843,15550.206892201355,0.9526946195786419,0.0002443958335744832,0.9524502237450724,0.9468539340562928,0.01670246139472564,0.9301514726615715,0.9440373303053579,0.1305536584660726,0.8134836718392904
0.9032208225572859,15550.31898651473,0.952870921946428,0.00024440210429931166,0.9526265198421336,0.9466152144521377,0.016516503397089207,0.9300987110550528,0.9455867605584374,0.13012953310331146,0.8154572274551309
0.8352031559218563,15550.431065475943,0.9548970755545043,0.00025035160177359884,0.9546467239527356,0.9468094401611686,0.01664377130234791,0.930165668858825,0.9488233380728999,0.13128019799947568,0.8175431400734293
0.8643577546767628,15550.543129091444,0.9627735417473815,0.0002609731653240525,0.9625125685820626,0.9512701769875119,0.01707157035731777,0.9341986066301985,0.9545613918015564,0.13386519377269676,0.8206961980288648
0.8866618958800208,15550.655177367673,0.9778067690188053,0.000273928906097452,0.9775328401127129,0.9634181930058657,0.01776215688365883,0.9456560361222113,0.9644642435853341,0.13769058129418854,0.8267736622911508
0.9120454833778113,15550.767210311085,0.9965660018882547,0.0002864144862092984,0.9962795874020508,0.981869722852534,0.01858457060595592,0.9632851522465826,0.9789479299773322,0.14242090451477338,0.8365270254625642
0.9634785598842102,15550.879227928117,1.0131412161850777,0.0002962175438691233,1.012844998641214,1.000657067766705,0.01932229105212053,0.9813347767145891,0.9960225238325013,0.14744009534933397,0.8485824284831728
0.9651472553406854,15550.99123022522,1.0233797967791647,0.0003025931055424597,1.023077203673628,1.0139835237594963,0.01981830274272566,0.9941652210167753,1.0117450743165024,0.15191730396560987,0.8598277703508981
0.9392198394306863,15551.103217208822,1.0271855837912507,0.000306150842056591,1.0268794329491997,1.0203144478101236,0.020091652916450754,1.0002227948936775,1.0229296637558065,0.15524043791487846,0.8676892258409337
1.0035874016946726,15551.215188885377,1.0275795992558094,0.0003080672505043419,1.0272715320053107,1.021902841030673,0.020276445524331613,1.001626395506346,1.0289368670054717,0.15736320681116794,0.8715736601943095
0.9974553282032523,15551.32714526132,1.0272183739650789,0.00030943168070170343,1.026908942284383,1.021838980745398,0.020478543674114957,1.0013604370712876,1.031479860740814,0.15864127394873154,0.8728385867920881
1.018554585558666,15551.439086343085,1.0272003769198415,0.00031084245736669197,1.0268895344624804,1.0217546147384888,0.02072616060214389,1.0010284541363497,1.0328558235755319,0.15950082341363947,0.873355000161898
1.0246161561613978,15551.55101213712,1.0281604655726926,0.00031245373755420496,1.027848011835144,1.0223565113417368,0.021000301155857333,1.0013562101858842,1.034194064429127,0.16023295835526535,0.8739611060738673
1.0557231091778314,15551.662922649855,1.0301779828116917,0.000314147142618679,1.0298638356690788,1.0241682241838037,0.02126864695733286,1.0028995772264755,1.0357651303994329,0.16094912572424006,0.8748160046751985
1.0680570928511046,15551.774817887725,1.0326099080724649,0.00031565293540936247,1.0322942551370613,1.0268573782010104,0.021506153700738995,1.0053512245002763,1.0376668533849023,0.16164943515868677,0.8760174182262214
1.0972495328672782,15551.886697857162,1.0343847988603077,0.0003167021576423716,1.034068096702671,1.029238715808162,0.021693703459901202,1.0075450123482657,1.0397694004936877,0.1622762715743615,0.8774931289193321
1.0633065007123212,15551.998562564608,1.0348781468528014,0.00031721627953729576,1.03456093057327,1.0303017489333623,0.02181845753275731,1.0084832914006099,1.0414975114321672,0.16273760138698895,0.8787599100451841
1.0483619820895522,15552.110412016487,1.0345160808059264,0.0003173290376280831,1.034198751768304,1.0301567121794506,0.02188037481129098,1.0082763373681645,1.0421488691709189,0.1629617910095904,0.8791870781613342
1.0348382546959196,15552.222246219233,1.033816793512438,0.0003171949663796518,1.033499598546064,1.0295788795940475,0.021891368094475366,1.007687511499577,1.0413722251762272,0.16293429239583118,0.8784379327804017
1.047832754994035,15552.334065179271,1.0324525908003412,0.00031680100821890604,1.032135789792128,1.0286747780299468,0.021873704832054544,1.0068010731978971,1.0389816336302546,0.16263367488299202,0.8763479587472685
1.0542569426764266,15552.445868903043,1.02954994648376,0.0003159146331565416,1.0292340318506092,1.0269081222690521,0.02184414853739474,1.0050639737316622,1.0349636547943328,0.16208731432544496,0.8728763404688936
1.0719268399128854,15552.557657396963,1.0246163520738325,0.0003144532006020646,1.0243018988732362,1.0233073381594697,0.021793360684738538,1.0015139774747361,1.0300578271127132,0.16142758343809424,0.8686302436746248
1.0591114243305757,15552.669430667464,1.0185502298219062,0.00031270704039843076,1.0182375227815135,1.0174875460719262,0.02170545878422189,0.9957820872877089,1.0252911903019837,0.16080476594461185,0.8644864243573774
1.0237298664339307,15552.781188720972,1.0127540086563305,0.0003111148857401171,1.012442893770596,1.0106021132949219,0.021593941679890434,0.9890081716150361,1.0214399624259325,0.1602808454184144,0.8611591170075238
1.0382668984123065,15552.89293156391,1.0084041657683365,0.0003099246047669209,1.0080942411635752,1.004309270290373,0.0214852191167817,0.9828240511735961,1.018790290274213,0.1599028080863885,0.8588874821878302
0.9938099069605254,15553.004659202701,1.0061253710842368,0.00030931221551670524,1.0058160588687257,0.9999737409019601,0.021404385890124403,0.9785693550118404,1.0173519201509913,0.1597014562496748,0.8576504639013222
1.0186676427243853,15553.116371643773,1.006019519531154,0.00030938081941282285,1.0057101387117469,0.9982512841188809,0.02137907836123407,0.9768722057576514,1.0170805359735913,0.15968492502690915,0.8573956109466877
