data,wl,model_composite,model_cool50,model_hot50
0.2412364152104579,15543.33985142665,0.282571388240732,0.006711398064514996,0.275859990176221
0.251267701542969,15543.452894457027,0.28197829969877636,0.007048384201169035,0.2749299154976113
0.2634995321346046,15543.565921739895,0.28087788990568385,0.007666055721869488,0.2732118341838184
0.2593759401711917,15543.678933281773,0.2785466126406205,0.008373966770147808,0.27017264587047674
0.2721564279305316,15543.791929089164,0.27525302293535486,0.008857687361136452,0.26639533557422246
0.26155882723916785,15543.904909168583,0.2704054737910427,0.009079188900708315,0.26132628489033843
0.26430393411533487,15544.017873526545,0.2639848612512725,0.009229168968184633,0.25475569228309186
0.25498867016575655,15544.130822169554,0.2579606448969432,0.009449179085280939,0.24851146581166622
0.2586516459404156,15544.243755104128,0.25529116543210256,0.009698057509559928,0.24559310792254657
0.2567203598952538,15544.356672336755,0.25778229116043966,0.009859063305834902,0.24792322785460874
0.26223930993646216,15544.469573873963,0.264438561288438,0.00991076098234882,0.25452780030609323
0.2874680815466322,15544.582459722242,0.27274557955455614,0.009879876692148508,0.2628657028624118
0.28155590363871746,15544.6953298881,0.27936071956888486,0.009834104887190019,0.26952661468169903
0.2754579424185721,15544.808184378046,0.282488035903742,0.0097825958530491,0.27270544005069713
0.2805144689204308,15544.921023198573,0.2828735320087317,0.009723108092457904,0.2731504239162781
0.2676327577926396,15545.033846356184,0.2822378613259477,0.009691021371853669,0.2725468399540983
0.26119226228046344,15545.146653857384,0.28192342145575855,0.009723009245215318,0.27220041221054747
0.27568964875297264,15545.259445708665,0.28255095735095886,0.009815445542101594,0.2727355118088615
0.2843295219743054,15545.372221916525,0.28403392003238515,0.009923966048603218,0.27410995398378624
0.2973783592937952,15545.484982487467,0.2855319481535808,0.010009730091958493,0.27552221806162663
0.2962705224946505,15545.59772742798,0.2860825139751938,0.010049406718343945,0.2760331072568542
0.29751993876313454,15545.710456744562,0.285231534873862,0.0100486664456859,0.2751828684281804
0.30328772566384615,15545.823170443698,0.28349763498673003,0.01004010139800573,0.2734575335887286
0.29009034055222055,15545.935868531888,0.28192010769852344,0.01004259363027262,0.2718775140682551
0.28784521354648174,15546.048551015625,0.2813834638688026,0.010027298235452042,0.27135616563335485
0.2638267414754401,15546.161217901388,0.2822999277603473,0.009983626967944916,0.27231630079240665
0.32196533507464503,15546.273869195678,0.28429319853600493,0.009941205960002263,0.274351992576007
0.3086917209136658,15546.386504904975,0.2866186952411364,0.00992705111385467,0.2766916441272861
0.2800030311346787,15546.499125035762,0.2885088626553941,0.00994005983419122,0.2785688028212073
