JD,Magnitude,Uncertainty,HQuncertainty,Band,Observer Code,Comment Code(s),Comp Star 1,Comp Star 2,Charts,Comments,Transfomed,Airmass,Validation Flag,Cmag,Kmag,HJD,Star Name,Observer Affiliation,Measurement Method,Grouping Method,ADS Reference,Digitizer,Credit
2458499.58318,13.564,0.017,,V,ATE,,ENSEMBLE,127,6836DVU,,0,1.157,Z,,12.741,2458499.58860,HU CNC,AAVSO,STD,,,,
2458499.58733,13.548,0.015,,V,ATE,,ENSEMBLE,127,6836DVU,,0,1.161,Z,,12.736,2458499.59275,HU CNC,AAVSO,STD,,,,
2458499.59057,13.567,0.017,,V,ATE,,ENSEMBLE,127,6836DVU,,0,1.165,Z,,12.735,2458499.59599,HU CNC,AAVSO,STD,,,,
2458499.59463,13.565,0.020,,V,ATE,,ENSEMBLE,127,6836DVU,,0,1.170,Z,,12.740,2458499.60005,HU CNC,AAVSO,STD,,,,
2458499.59814,13.557,0.013,,V,ATE,,ENSEMBLE,127,6836DVU,,0,1.175,Z,,12.738,2458499.60356,HU CNC,AAVSO,STD,,,,
2458499.60139,13.564,0.021,,V,ATE,,ENSEMBLE,127,6836DVU,,0,1.180,Z,,12.732,2458499.60681,HU CNC,AAVSO,STD,,,,
2458499.60463,13.558,0.015,,V,ATE,,ENSEMBLE,127,6836DVU,,0,1.186,Z,,12.743,2458499.61005,HU CNC,AAVSO,STD,,,,
2458499.60788,13.559,0.012,,V,ATE,,ENSEMBLE,127,6836DVU,,0,1.192,Z,,12.743,2458499.61330,HU CNC,AAVSO,STD,,,,
2458499.61130,13.559,0.006,,V,ATE,,ENSEMBLE,127,6836DVU,,0,1.199,Z,,12.738,2458499.61672,HU CNC,AAVSO,STD,,,,
2458499.61491,13.551,0.016,,V,ATE,,ENSEMBLE,127,6836DVU,,0,1.207,Z,,12.750,2458499.62033,HU CNC,AAVSO,STD,,,,
2458499.61824,13.560,0.014,,V,ATE,,ENSEMBLE,127,6836DVU,,0,1.215,Z,,12.741,2458499.62366,HU CNC,AAVSO,STD,,,,
2458499.62194,13.561,0.010,,V,ATE,,ENSEMBLE,127,6836DVU,,0,1.224,Z,,12.750,2458499.62736,HU CNC,AAVSO,STD,,,,
2458499.62518,13.547,0.008,,V,ATE,,ENSEMBLE,127,6836DVU,,0,1.233,Z,,12.748,2458499.63060,HU CNC,AAVSO,STD,,,,
2458499.62843,13.554,0.010,,V,ATE,,ENSEMBLE,127,6836DVU,,0,1.242,Z,,12.743,2458499.63385,HU CNC,AAVSO,STD,,,,
2458499.63167,13.537,0.017,,V,ATE,,ENSEMBLE,127,6836DVU,,0,1.252,Z,,12.736,2458499.63709,HU CNC,AAVSO,STD,,,,
2458499.63519,13.535,0.011,,V,ATE,,ENSEMBLE,127,6836DVU,,0,1.264,Z,,12.742,2458499.64061,HU CNC,AAVSO,STD,,,,
2458499.63870,13.542,0.017,,V,ATE,,ENSEMBLE,127,6836DVU,,0,1.276,Z,,12.743,2458499.64412,HU CNC,AAVSO,STD,,,,
2458499.64195,13.547,0.020,,V,ATE,,ENSEMBLE,127,6836DVU,,0,1.288,Z,,12.746,2458499.64737,HU CNC,AAVSO,STD,,,,
2458499.64519,13.537,0.009,,V,ATE,,ENSEMBLE,127,6836DVU,,0,1.300,Z,,12.744,2458499.65061,HU CNC,AAVSO,STD,,,,
2458499.64844,13.542,0.009,,V,ATE,,ENSEMBLE,127,6836DVU,,0,1.314,Z,,12.745,2458499.65386,HU CNC,AAVSO,STD,,,,
2458499.65168,13.534,0.020,,V,ATE,,ENSEMBLE,127,6836DVU,,0,1.328,Z,,12.743,2458499.65710,HU CNC,AAVSO,STD,,,,
