time,flux
3418.54654121324,73985.34216022819
3418.5669736834243,73994.53283928285
3418.587405952683,73981.01419618736
3418.6078384219436,73971.10443238716
3418.6282707907303,73989.03734515444
3418.648703158593,73960.07087699867
3418.66913552599,73945.44458131932
3418.689567892914,73974.38239866606
3418.7100002593797,73931.18910404903
3418.7304326253798,73943.27886204024
3418.750864990441,73929.95187119793
3418.77129735551,73922.76377407818
3418.7917298196408,73856.67409443312
3418.8121620833117,73867.39998433908
3418.8325944465178,73890.04082991178
3418.853026909259,73909.22539433214
3418.87345917106,73936.516718353
3418.89389163287,73964.37161060177
3418.9143239937403,73923.31202354684
3418.9347562541516,73904.27147044316
3418.9551887140988,73975.53060371433
3418.9960533325866,73811.24873873476
3419.016485791137,73812.98114155215
3419.0369181487476,73819.75376495883
3419.0573504058993,73787.15400766737
3419.077782862587,73789.80542384376
3419.098215218808,73830.72594173458
3419.1186474745555,73799.72818650093
3419.139079929846,73821.9898109639
3419.159512284663,73772.45736462479
3419.1799446385558,73771.44762190938
3419.200376991983,73764.20234511358
3419.241241697433,73732.13331894725
3419.261674049463,73693.28349645578
3419.2821064010204,73735.06263443203
3419.3025388516544,73670.79146915459
3419.322971102287,73687.21787068914
3419.3434034519887,73694.53026497537
3419.3638359012184,73627.75441106186
3419.384268149988,73664.80226023786
3419.404700498286,73633.71468041245
3419.425132946126,73591.59249684085
3419.445565193033,73598.47022777563
3419.465997539475,73591.19957395809
3419.486429985911,73645.58940458915
3419.506862231421,73589.22138806152
3419.527294576459,73626.89351133138
3419.5477270210395,73569.92749300959
3419.568159264687,73548.92073517726
3419.5885917083287,73525.66587825048
3419.6090240510457,73503.01725563798
3419.6294563937627,73498.87781218908
3419.649888735541,73649.83499483224
3419.670321076861,73545.16557255926
3419.6907534172497,73505.09491217145
3419.731618097554,73487.01561091332
3419.7520504365457,73508.84784407855
3419.77248277553,73477.96191345982
3419.7929151135904,73460.43570220914
3419.813347451185,73446.64915228747
3419.833779788307,73462.00847746032
3419.8542121245046,73432.45118542011
