time,flux
2306.611034299509,75448.69616710379
2306.6314666248727,75493.5477896408
2306.6518987497766,75484.01020386118
2306.6723309742156,75494.10576343739
2306.6927632977167,75473.02100900732
2306.7131954212236,75430.77951400272
2306.7336277438008,75422.42413758801
2306.754059866369,75422.67255589392
2306.774492088014,75405.25347546024
2306.794924409187,75379.89772229473
2306.8153565303655,75404.24891738709
2306.8357887506136,75353.60549967366
2306.8562210703967,75398.81266596152
2306.8766531897054,75317.73966760906
2306.8970854085564,75311.95605336344
2306.9175177269353,75290.63797303737
2306.937949944855,75319.86925538462
2306.958382162309,75284.1716554878
2306.9788143792975,75266.47439621437
2306.999246595813,75237.87969591276
2307.01967881187,75232.00502717865
2307.0401110274543,75248.6651182122
2307.06054324258,75170.12028652363
2307.0809755567752,75175.55931493606
2307.101407670969,75140.11566231801
2307.1218398846904,75165.23617345851
2307.1422721974886,75125.58231373642
2307.162704310278,75154.21634196065
2307.183136622145,75110.48988021644
2307.203568834011,75062.64520829635
2307.224000944945,75077.77068513464
2307.2444332558734,75036.28098699602
2307.264865465877,75044.8209563515
2307.2852975754067,74995.94621173957
2307.3057298849453,74974.80081403798
2307.326162093552,74981.37609899012
2307.346594201692,74963.54689808494
2307.3670265093606,74935.29087439193
2307.38745871657,74915.14863539179
2307.4078909233067,75282.98899012293
2307.428323129585,74866.2604605024
2307.4487553353974,74838.9905644116
2307.469187540737,74843.8648692178
2307.4896197456183,74845.75246484988
2307.510051950034,74836.07716616038
2307.5509163574607,74852.16383623792
2307.5713485604792,74841.29669371262
2307.59178086256,74849.09096002269
2307.6122129646465,74855.46905968878
2307.632645166268,74803.65456940398
2307.653077466952,74766.10800925334
2307.6735095676413,74771.50496509588
2307.693941767866,74735.02240494844
2307.7143740671527,74738.64396513981
2307.734806166445,74736.76610881148
2307.755238464808,74750.39456073464
2307.7756706631626,74723.26087718978
2307.7961027605925,74700.64947508111
2307.816535058024,74729.44616502442
2307.836967254516,74705.12765972597
2307.8573993510145,74688.15703126861
2307.877831646583,74641.66494770549
2307.8982638416783,74646.43107909468
2307.918696036315,74677.1104039288
2307.9391282309516,74635.18265649155
2307.9595604246497,74664.89444901342
2307.9799926178894,74622.55648524019
2308.0004248106634,74626.20685005026
2308.02085700343,74646.38130643057
2308.041289195273,74617.84007002703
2308.0617214866506,74610.95257995445
2308.082153577554,74575.7970993191
2308.1025858680005,74575.46885514352
2308.1230179579798,74561.72311076475
2308.143450147487,74537.30861552962
2308.1638824365364,74540.45407217629
2308.1843145251187,74559.2621702746
2308.204746713229,74562.69135125769
2308.2251790008813,74559.60410218469
2308.2456110880667,74574.825269754
2308.26604327478,74523.78072069072
2308.2864755610353,74542.33086316902
2308.306907646358,74523.72063295152
2308.327339831674,74492.57513369595
2308.3477721165327,74494.29841826641
2308.368204200924,74464.09746148292
2308.3886363848433,74472.41771998302
2308.409068667839,74480.59255957286
2308.4295008508343,74433.76394643418
2308.4499329333557,74504.9856065655
2308.4703652154203,74414.93066124963
2308.4907973965455,74430.47850822672
2308.531661758345,74423.61486117833
2308.552093938073,74471.47067749026
2308.5725261178086,74451.42766620894
2308.5929582970784,74419.85168843619
2308.6133904754097,74437.52274182906
2308.633822753749,74458.3513310741
2308.6542548311554,74423.9740053996
2308.6746870085553,74412.47156087725
2308.695119285032,74408.66055781298
2308.715551361507,74392.251367991
2308.73598353751,74419.6429671118
2308.7564158125897,74423.36356318086
2308.776847887668,74425.14268333482
2308.797280061808,74391.56222393374
2308.8177123359565,74396.08157599131
2308.838144409172,74388.16740014522
2308.858576582381,74407.98565478154
2308.8790088546666,74418.33227054765
2308.899440926951,74384.06180482339
2308.919873198298,74419.84773184809
2308.9403052696507,74394.72988365561
2308.960737440073,74398.8864094386
2308.981169710023,74436.30347929333
2309.0016018799797,74422.76654158368
2309.0220339490043,74382.09342048762
2309.042466218023,74416.82690381228
2309.062898386117,74409.83177215098
2309.08333045421,74392.5336194657
2309.1037627213664,74379.7691938966
2309.1241948880634,74463.39504431601
2309.1446269547596,74432.41774487308
2309.1650592205187,74438.79335948873
2309.1854913862844,74503.5639186856
2309.205923451118,74471.12340636566
2309.226355715946,74456.46062293561
2309.246787879849,74447.18672550011
2309.267220043286,74460.67739230827
2309.2876522067163,74453.99120065822
2309.3080843692223,74467.13955331854
2309.3285165317284,74441.47377707592
2309.348948693296,74421.47412970607
2309.369380854405,74472.71320181989
2309.3898131155147,74484.79174188132
2309.4102451756844,74446.82998647541
2309.430677335862,74441.51846883919
2309.451109595102,74447.66879819139
2309.471541753883,74446.51435301824
2309.5124060709786,74448.93162465857
2309.532838228355,74429.43415307977
2309.5532702852724,74431.29816619941
2309.573702542184,74448.84346210118
2309.594134698171,74462.62606752344
2309.614566754157,74432.08471806723
2309.634999009213,74450.1353915773
2309.6554310642605,74412.55767017267
2309.6758632183846,74436.45131992784
2309.6962954725022,74473.18798953299
2309.7167275256943,74439.75232275006
2309.737159678887,74436.55552358803
2309.7575919311494,74451.35047652943
2309.778023983403,74440.77530807034
2309.798456134733,74467.31874927501
2309.8188883860566,74453.76634019728
2309.8393205364555,74466.99526495613
2309.8597526868543,74473.84030589566
2309.8801848367875,74489.34568258219
