data,wl,model_comp50
0.27327294418934184,15808.994992546399,0.27337232076762297
0.29618387397361245,15809.110087217134,0.27354922968101136
0.270062285097105,15809.225165936763,0.2737526955502986
0.25720342072142227,15809.340228711759,0.2741706189173613
0.2712453213316559,15809.455275548598,0.2748601763872772
0.28548232827435327,15809.570306453736,0.27566381033894166
0.2926178389140008,15809.685321433653,0.2762964090721634
0.29093464830746346,15809.800320494813,0.2765207258750948
0.29046785285165416,15809.915303643687,0.2763897090473134
0.26562391964375187,15810.03027088673,0.27612452702535883
0.27533776030537305,15810.145222230425,0.275879418585449
0.2844663942573314,15810.26015768122,0.2757603224497639
0.27993425614021544,15810.375077245573,0.2757965522120799
0.27317887836778665,15810.48998092996,0.27592449694486454
0.26546523292435475,15810.604868740837,0.27606118204512076
0.2702896810070408,15810.719740684654,0.2760820506076708
0.2760034032026663,15810.83459676788,0.275659256589963
0.2823472765392839,15810.949436996962,0.2743750289085799
0.26226634185707554,15811.064261378362,0.2721424953448439
0.2618263552133016,15811.179069918537,0.26942031934347493
0.2775341224754489,15811.293862623934,0.2669607475672786
0.29021720316558663,15811.408639501013,0.26525097235715067
0.2763503277458528,15811.523400556212,0.2644728135462456
0.27797801683254564,15811.638145795996,0.2645947013446095
0.2943210634941187,15811.752875226806,0.26549526141871127
0.2901058702481984,15811.867588855093,0.2670464652163316
0.2780538278735736,15811.982286687306,0.26884600312580076
0.2758281275966185,15812.096968729878,0.2702726691576708
0.26575705539506894,15812.211634989271,0.27052384146979064
0.2752523825062362,15812.326285471923,0.26908882655637933
0.27421870898675493,15812.440920184272,0.2664336498749603
0.27646592080146803,15812.555539132763,0.2630912518948403
0.27068489614410784,15812.670142323836,0.259697992401376
0.26151903667494625,15812.78472976393,0.2569047193918141
0.259424407141098,15812.899301459483,0.25518211343910574
0.2737169876564369,15813.013857416938,0.2549261008252449
0.2777980186147075,15813.128397642717,0.2564059018437699
0.26718318554411247,15813.242922143269,0.25955712973121936
0.26998163019080507,15813.357430925023,0.26368279132357275
0.2726173703244023,15813.471923994408,0.26783660126252185
0.25813096136168256,15813.586401357861,0.27116179844434535
0.26786691493856235,15813.700863021813,0.27313874834313484
0.24767324810541877,15813.815308992687,0.27371902250948066
0.262656676773697,15813.929739276924,0.2732170500563909
0.2657858234774072,15814.044153880934,0.2720776337467018
0.2807745998947733,15814.158552811155,0.27076041352202546
0.2806486479331539,15814.272936074012,0.2697274652456383
0.27677739412212693,15814.387303675921,0.26929521460019074
0.26880206743702983,15814.501655623317,0.269558277163935
0.27836307594527787,15814.615991922605,0.27042683834819164
0.2953312040077242,15814.730312580225,0.2716818644545326
0.2865340089099219,15814.844617602581,0.27306441193680325
0.25019834393820845,15814.958906996104,0.27433749885151054
0.2556141739431012,15815.073180767205,0.2753047075724605
0.24452284319813883,15815.187438922298,0.275859129563252
0.23834134755340303,15815.301681467801,0.27603115329072975
0.2690850754655449,15815.415908410128,0.27599465417416824
0.28188046957426544,15815.530119755698,0.27591786396375595
0.2743814825795689,15815.644315510915,0.275840859660962
0.2852961186961028,15815.758495682196,0.2756760078326986
0.27468888634596783,15815.872660275947,0.2752485885401149
0.26074523072262373,15815.986809298574,0.2744553247161208
0.26796533245520676,15816.100942756495,0.273467398377528
0.2515507164838162,15816.215060656103,0.2725341591762727
0.24106326135146205,15816.329163003807,0.27160020528994083
0.2353632912739737,15816.44324980602,0.2703243524609414
0.24051548900729577,15816.557321069142,0.26882934508020667
0.24225907578287068,15816.67137679957,0.2672765006599902
0.23227254077640028,15816.785417003712,0.26579821232154544
0.22405735773616559,15816.899441687958,0.26469949449659114
0.21147115257340654,15817.013450858722,0.2641032449749739
0.22499542020258345,15817.127444522384,0.26380953608920377
0.24797833574460715,15817.241422685356,0.26409045917947865
0.2605637461054869,15817.355385354023,0.26523259797989307
0.2501831275506387,15817.469332534793,0.2669073010047921
0.2498533569637555,15817.583264234043,0.2687634532992143
0.2571236017768271,15817.697180458172,0.27053436530959496
0.2653157132047072,15817.811081213578,0.2719821104031853
0.2632518060233214,15817.924966506645,0.27290395480454716
0.2616855048164484,15818.038836343758,0.2733716594695552
0.25963495602544767,15818.152690731311,0.27341533335039114
0.2568793331818167,15818.266529675691,0.27326996583455626
0.2674058213306849,15818.380353183287,0.27330769196900284
0.27157858342282337,15818.494161260473,0.2735289652552577
0.268294795951223,15818.607953913644,0.27379477527797896
0.26724023226315924,15818.721731149173,0.27396664540505816
0.26011654802288475,15818.835492973449,0.27396385732354517
0.2751283084711129,15818.949239392854,0.2736765686376509
0.2794056811856835,15819.062970413754,0.272895055092861
0.26825787542416196,15819.176686042538,0.2713540671373946
0.27699646732131306,15819.290386285582,0.269126733968351
0.2627236855239308,15819.404071149265,0.2666912497620336
0.27219142030513166,15819.517740639956,0.26465137802392996
0.2827887871828945,15819.63139476403,0.26344160330969846
